订单 Id,利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单日期,邮寄方式,销售额
US-2015-1357144,-0.47,1,Fiskars,"Fiskars 剪刀, 蓝色",-61.0,2016/4/29,中国,华东,杭州,用品,曾惠,0.4,2,浙江,办公用品,公司,2016/4/27,二级,130.0
CN-2015-1973789,0.34,1,GlobeWeis,"GlobeWeis 搭扣信封, 红色",43.0,2016/6/19,中国,西南,内江,信封,许安,0.0,2,四川,办公用品,消费者,2016/6/15,标准级,125.0
CN-2015-1973789,0.13,1,Cardinal,"Cardinal 孔加固材料, 回收",4.0,2016/6/19,中国,西南,内江,装订机,许安,0.4,2,四川,办公用品,消费者,2016/6/15,标准级,32.0
US-2015-3017568,-0.08,1,Kleencut,"Kleencut 开信刀, 工业",-27.0,2016/12/13,中国,华东,镇江,用品,宋良,0.4,4,江苏,办公用品,公司,2016/12/9,标准级,321.0
CN-2014-2975416,0.4,1,KitchenAid,"KitchenAid 搅拌机, 黑色",550.0,2015/6/2,中国,中南,汕头,器具,万兰,0.0,3,广东,办公用品,消费者,2015/5/31,二级,1376.0
CN-2013-4497736,0.36,1,Ibico,"Ibico 订书机, 实惠",173.0,2014/10/31,中国,华东,景德镇,装订机,俞明,0.0,2,江西,办公用品,消费者,2014/10/27,标准级,480.0
CN-2013-4497736,0.08,1,Green Bar,"Green Bar 计划信息表, 多色",47.0,2014/10/31,中国,华东,景德镇,纸张,俞明,0.0,5,江西,办公用品,消费者,2014/10/27,标准级,588.0
CN-2013-4497736,0.22,1,Stockwell,"Stockwell 橡皮筋, 整包",34.0,2014/10/31,中国,华东,景德镇,系固件,俞明,0.0,2,江西,办公用品,消费者,2014/10/27,标准级,154.0
CN-2012-4195213,0.01,1,爱普生,"爱普生 计算器, 耐用",4.0,2013/12/24,中国,西北,榆林,设备,谢雯,0.0,2,陕西,技术,小型企业,2013/12/22,二级,434.0
CN-2015-5801711,0.27,1,惠普,"惠普 墨水, 红色",640.0,2016/6/6,中国,东北,哈尔滨,复印机,康青,0.0,4,黑龙江,技术,消费者,2016/6/1,标准级,2369.0
CN-2013-2752724,0.13,1,Jiffy,"Jiffy 局间信封, 银色",89.0,2014/6/9,中国,华东,青岛,信封,赵婵,0.0,3,山东,办公用品,消费者,2014/6/5,标准级,684.0
CN-2013-2752724,0.26,1,SanDisk,"SanDisk 键区, 可编程",344.0,2014/6/9,中国,华东,青岛,配件,赵婵,0.0,5,山东,技术,消费者,2014/6/5,标准级,1327.0
US-2014-2511714,0.45,1,Novimex,"Novimex 圆形标签, 红色",38.0,2015/11/25,中国,华东,徐州,标签,刘斯云,0.0,3,江苏,办公用品,公司,2015/11/22,一级,85.0
CN-2015-5631342,0.46,1,Memorex,"Memorex 键盘, 实惠",1071.0,2016/10/4,中国,华东,上海,配件,白鹄,0.0,7,上海,技术,消费者,2016/10/2,二级,2330.0
CN-2015-5631342,0.28,1,Acme,"Acme 尺子, 工业",24.0,2016/10/4,中国,华东,上海,用品,白鹄,0.0,1,上海,办公用品,消费者,2016/10/2,二级,86.0
CN-2015-5631342,0.02,1,Avery,"Avery 孔加固材料, 耐用",2.0,2016/10/4,中国,华东,上海,装订机,白鹄,0.0,5,上海,办公用品,消费者,2016/10/2,二级,138.0
CN-2015-5631342,0.32,1,Cardinal,"Cardinal 装订机, 回收",127.0,2016/10/4,中国,华东,上海,装订机,白鹄,0.0,6,上海,办公用品,消费者,2016/10/2,二级,397.0
CN-2015-5631342,0.45,1,三星,"三星 办公室电话机, 整包",959.0,2016/10/4,中国,华东,上海,电话,白鹄,0.0,7,上海,技术,消费者,2016/10/2,二级,2133.0
CN-2015-5631342,0.26,1,Hewlett,"Hewlett 传真机, 数字化",1163.0,2016/10/4,中国,华东,上海,复印机,白鹄,0.0,3,上海,技术,消费者,2016/10/2,二级,4474.0
CN-2015-5631342,0.44,1,Elite,"Elite 开信刀, 工业",119.0,2016/10/4,中国,华东,上海,用品,白鹄,0.0,2,上海,办公用品,消费者,2016/10/2,二级,270.0
US-2014-4150614,-0.28,1,Sauder,"Sauder 书架, 金属",-464.0,2015/6/14,中国,华东,温岭,书架,贾彩,0.4,4,浙江,家具,公司,2015/6/7,标准级,1638.0
US-2014-4150614,0.05,1,Office Star,"Office Star 摇椅, 可调",60.0,2015/6/14,中国,华东,温岭,椅子,贾彩,0.4,3,浙江,家具,公司,2015/6/7,标准级,1205.0
US-2014-4150614,-0.09,1,OIC,"OIC 图钉, 金属",-17.0,2015/6/14,中国,华东,温岭,系固件,贾彩,0.4,5,浙江,办公用品,公司,2015/6/7,标准级,199.0
US-2014-4150614,-0.24,1,Accos,"Accos 图钉, 混合尺寸",-59.0,2015/6/14,中国,华东,温岭,系固件,贾彩,0.4,8,浙江,办公用品,公司,2015/6/7,标准级,249.0
US-2014-4150614,-0.47,1,Fiskars,"Fiskars 剪刀, 蓝色",-182.0,2015/6/14,中国,华东,温岭,用品,贾彩,0.4,6,浙江,办公用品,公司,2015/6/7,标准级,389.0
US-2014-4150614,-0.05,1,罗技,"罗技 路由器, 实惠",-35.0,2015/6/14,中国,华东,温岭,配件,贾彩,0.4,1,浙江,技术,公司,2015/6/7,标准级,692.0
