订单 Id,利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单日期,邮寄方式,销售额
US-2015-1357144,-0.47 ,1,Fiskars,"Fiskars 剪刀, 蓝色",-61.00 ,2016/4/29,中国,华东,杭州,用品,曾惠,0.40 ,2,浙江,办公用品,公司,2016/4/27,二级,130.00 
CN-2015-1973789,0.34 ,1,GlobeWeis,"GlobeWeis 搭扣信封, 红色",43.00 ,2016/6/19,中国,西南,内江,信封,许安,0.00 ,2,四川,办公用品,消费者,2016/6/15,标准级,125.00 
CN-2015-1973789,0.13 ,1,Cardinal,"Cardinal 孔加固材料, 回收",4.00 ,2016/6/19,中国,西南,内江,装订机,许安,0.40 ,2,四川,办公用品,消费者,2016/6/15,标准级,32.00 
US-2015-3017568,-0.08 ,1,Kleencut,"Kleencut 开信刀, 工业",-27.00 ,2016/12/13,中国,华东,镇江,用品,宋良,0.40 ,4,江苏,办公用品,公司,2016/12/9,标准级,321.00 
CN-2014-2975416,0.40 ,1,KitchenAid,"KitchenAid 搅拌机, 黑色",550.00 ,2015/6/2,中国,中南,汕头,器具,万兰,0.00 ,3,广东,办公用品,消费者,2015/5/31,二级,1376.00 
CN-2013-4497736,0.34 ,1,柯尼卡,"柯尼卡 打印机, 红色",3784.00 ,2014/10/31,中国,华东,景德镇,设备,俞明,0.00 ,9,江西,技术,消费者,2014/10/27,标准级,11130.00 
CN-2013-4497736,0.36 ,1,Ibico,"Ibico 订书机, 实惠",173.00 ,2014/10/31,中国,华东,景德镇,装订机,俞明,0.00 ,2,江西,办公用品,消费者,2014/10/27,标准级,480.00 
CN-2013-4497736,0.31 ,1,Safco,"SAFCO 扶手椅, 可调",2684.00 ,2014/10/31,中国,华东,景德镇,椅子,俞明,0.00 ,4,江西,家具,消费者,2014/10/27,标准级,8660.00 
CN-2013-4497736,0.08 ,1,Green Bar,"Green Bar 计划信息表, 多色",47.00 ,2014/10/31,中国,华东,景德镇,纸张,俞明,0.00 ,5,江西,办公用品,消费者,2014/10/27,标准级,588.00 
CN-2013-4497736,0.22 ,1,Stockwell,"Stockwell 橡皮筋, 整包",34.00 ,2014/10/31,中国,华东,景德镇,系固件,俞明,0.00 ,2,江西,办公用品,消费者,2014/10/27,标准级,154.00 
CN-2012-4195213,0.01 ,1,爱普生,"爱普生 计算器, 耐用",4.00 ,2013/12/24,中国,西北,榆林,设备,谢雯,0.00 ,2,陕西,技术,小型企业,2013/12/22,二级,434.00 
CN-2015-5801711,0.27 ,1,惠普,"惠普 墨水, 红色",640.00 ,2016/6/6,中国,东北,哈尔滨,复印机,康青,0.00 ,4,黑龙江,技术,消费者,2016/6/1,标准级,2369.00 
CN-2013-2752724,0.13 ,1,Jiffy,"Jiffy 局间信封, 银色",89.00 ,2014/6/9,中国,华东,青岛,信封,赵婵,0.00 ,3,山东,办公用品,消费者,2014/6/5,标准级,684.00 
CN-2013-2752724,0.26 ,1,SanDisk,"SanDisk 键区, 可编程",344.00 ,2014/6/9,中国,华东,青岛,配件,赵婵,0.00 ,5,山东,技术,消费者,2014/6/5,标准级,1327.00 
CN-2013-2752724,0.48 ,1,诺基亚,"诺基亚 充电器, 蓝色",2849.00 ,2014/6/9,中国,华东,青岛,电话,赵婵,0.00 ,2,山东,技术,消费者,2014/6/5,标准级,5937.00 
US-2014-2511714,-0.38 ,1,KitchenAid,"KitchenAid 冰箱, 黑色",-3963.00 ,2015/11/25,中国,华东,徐州,器具,刘斯云,0.40 ,7,江苏,办公用品,公司,2015/11/22,一级,10336.00 
US-2014-2511714,0.45 ,1,Novimex,"Novimex 圆形标签, 红色",38.00 ,2015/11/25,中国,华东,徐州,标签,刘斯云,0.00 ,3,江苏,办公用品,公司,2015/11/22,一级,85.00 
CN-2015-5631342,0.46 ,1,Memorex,"Memorex 键盘, 实惠",1071.00 ,2016/10/4,中国,华东,上海,配件,白鹄,0.00 ,7,上海,技术,消费者,2016/10/2,二级,2330.00 
CN-2015-5631342,0.28 ,1,Acme,"Acme 尺子, 工业",24.00 ,2016/10/4,中国,华东,上海,用品,白鹄,0.00 ,1,上海,办公用品,消费者,2016/10/2,二级,86.00 
CN-2015-5631342,0.02 ,1,Avery,"Avery 孔加固材料, 耐用",2.00 ,2016/10/4,中国,华东,上海,装订机,白鹄,0.00 ,5,上海,办公用品,消费者,2016/10/2,二级,138.00 
CN-2015-5631342,0.32 ,1,Cardinal,"Cardinal 装订机, 回收",127.00 ,2016/10/4,中国,华东,上海,装订机,白鹄,0.00 ,6,上海,办公用品,消费者,2016/10/2,二级,397.00 
CN-2015-5631342,0.45 ,1,三星,"三星 办公室电话机, 整包",959.00 ,2016/10/4,中国,华东,上海,电话,白鹄,0.00 ,7,上海,技术,消费者,2016/10/2,二级,2133.00 
CN-2015-5631342,0.26 ,1,Hewlett,"Hewlett 传真机, 数字化",1163.00 ,2016/10/4,中国,华东,上海,复印机,白鹄,0.00 ,3,上海,技术,消费者,2016/10/2,二级,4474.00 
CN-2015-5631342,0.44 ,1,Elite,"Elite 开信刀, 工业",119.00 ,2016/10/4,中国,华东,上海,用品,白鹄,0.00 ,2,上海,办公用品,消费者,2016/10/2,二级,270.00 
US-2014-4150614,-0.28 ,1,Sauder,"Sauder 书架, 金属",-464.00 ,2015/6/14,中国,华东,温岭,书架,贾彩,0.40 ,4,浙江,家具,公司,2015/6/7,标准级,1638.00 
US-2014-4150614,0.05 ,1,Office Star,"Office Star 摇椅, 可调",60.00 ,2015/6/14,中国,华东,温岭,椅子,贾彩,0.40 ,3,浙江,家具,公司,2015/6/7,标准级,1205.00 
US-2014-4150614,-0.09 ,1,OIC,"OIC 图钉, 金属",-17.00 ,2015/6/14,中国,华东,温岭,系固件,贾彩,0.40 ,5,浙江,办公用品,公司,2015/6/7,标准级,199.00 
US-2014-4150614,-0.24 ,1,Accos,"Accos 图钉, 混合尺寸",-59.00 ,2015/6/14,中国,华东,温岭,系固件,贾彩,0.40 ,8,浙江,办公用品,公司,2015/6/7,标准级,249.00 
US-2014-4150614,-0.47 ,1,Fiskars,"Fiskars 剪刀, 蓝色",-182.00 ,2015/6/14,中国,华东,温岭,用品,贾彩,0.40 ,6,浙江,办公用品,公司,2015/6/7,标准级,389.00 
US-2014-4150614,-0.05 ,1,罗技,"罗技 路由器, 实惠",-35.00 ,2015/6/14,中国,华东,温岭,配件,贾彩,0.40 ,1,浙江,技术,公司,2015/6/7,标准级,692.00 
US-2014-4150614,-0.09 ,1,Tenex,"Tenex 灯泡, 黑色",-9.00 ,2015/6/14,中国,华东,温岭,用具,贾彩,0.40 ,2,浙江,家具,公司,2015/6/7,标准级,106.00 
CN-2015-4364300,0.46 ,1,Wilson Jones,"Wilson Jones 标签, 回收",73.00 ,2016/12/15,中国,华东,上海,装订机,马丽,0.00 ,5,上海,办公用品,消费者,2016/12/12,二级,159.00 
CN-2015-3230180,0.46 ,1,Fellowes,"Fellowes 文件车, 金属",585.00 ,2016/10/2,中国,华北,唐山,收纳具,宋栋,0.00 ,2,河北,办公用品,公司,2016/9/28,二级,1273.00 
CN-2015-3230180,0.46 ,1,Harbour Creations,"Harbour Creations 椅垫, 可调",799.00 ,2016/10/2,中国,华北,唐山,椅子,宋栋,0.00 ,5,河北,家具,公司,2016/9/28,二级,1738.00 
US-2014-1966627,-0.35 ,1,Dania,"Dania 书架, 白色",-487.00 ,2015/11/23,中国,华东,宁波,书架,巩虢,0.40 ,4,浙江,家具,公司,2015/11/19,标准级,1390.00 
CN-2014-1190387,0.00 ,1,Advantus,"Advantus 灯泡, 耐用",0.00 ,2015/3/1,中国,华东,上海,用具,常松,0.00 ,5,上海,家具,消费者,2015/2/28,一级,399.00 
CN-2014-3216455,0.13 ,1,Boston,"Boston 画布, 蓝色",32.00 ,2015/9/6,中国,华东,厦门,美术,田黎明,0.00 ,1,福建,办公用品,公司,2015/9/3,二级,250.00 
CN-2014-4690757,0.48 ,1,Green Bar,"Green Bar 笔记本, 优质",400.00 ,2015/9/21,中国,华东,宿州,纸张,谭乐,0.00 ,6,安徽,办公用品,消费者,2015/9/17,标准级,834.00 
CN-2014-4690757,0.34 ,1,Smead,"Smead 盘, 工业",78.00 ,2015/9/21,中国,华东,宿州,收纳具,谭乐,0.00 ,1,安徽,办公用品,消费者,2015/9/17,标准级,228.00 
CN-2014-4690757,-0.23 ,1,Lesro,"Lesro 培训桌, 长方形",-211.00 ,2015/9/21,中国,华东,宿州,桌子,谭乐,0.25 ,1,安徽,家具,消费者,2015/9/17,标准级,932.00 
CN-2014-4674220,0.37 ,1,SanDisk,"SanDisk 羊皮纸, 每包 12 个",108.00 ,2015/7/5,中国,西北,兰州,纸张,徐岱,0.00 ,3,甘肃,办公用品,公司,2015/7/2,一级,292.00 
US-2014-3857264,-0.22 ,1,Breville,"Breville 炉灶, 黑色",-2043.00 ,2015/8/1,中国,华东,淮阴,器具,武杰,0.40 ,6,江苏,办公用品,小型企业,2015/7/26,标准级,9424.00 
CN-2014-4054371,0.40 ,1,KitchenAid,"KitchenAid 搅拌机, 黑色",1651.00 ,2015/12/26,中国,东北,肇源,器具,吕兰,0.00 ,9,黑龙江,办公用品,消费者,2015/12/24,二级,4128.00 
CN-2012-2932548,0.00 ,1,Fellowes,"Fellowes 锁柜, 蓝色",0.00 ,2013/5/22,中国,华东,南昌,收纳具,唐婉,0.00 ,2,江西,办公用品,小型企业,2013/5/17,二级,1935.00 
CN-2012-2932548,0.19 ,1,Sanford,"Sanford 钢笔, 混合尺寸",50.00 ,2013/5/22,中国,华东,南昌,美术,唐婉,0.00 ,4,江西,办公用品,小型企业,2013/5/17,二级,267.00 
CN-2014-3476344,0.34 ,1,Ibico,"Ibico 打孔机, 透明",237.00 ,2015/7/20,中国,华东,合肥,装订机,葛毅,0.00 ,5,安徽,办公用品,消费者,2015/7/16,标准级,698.00 
US-2014-5956361,-3.75 ,1,Boston,"Boston 速写本, 蓝色",-1021.00 ,2015/6/18,中国,西南,内江,美术,邹涛,0.80 ,6,四川,办公用品,公司,2015/6/16,二级,272.00 
US-2014-5956361,0.13 ,1,诺基亚,"诺基亚 充电器, 蓝色",237.00 ,2015/6/18,中国,西南,内江,电话,邹涛,0.40 ,1,四川,技术,公司,2015/6/16,二级,1781.00 
US-2014-5956361,0.42 ,1,Ames,"Ames 邮寄品, 银色",150.00 ,2015/6/18,中国,西南,内江,信封,邹涛,0.00 ,2,四川,办公用品,公司,2015/6/16,二级,357.00 
CN-2015-2396895,0.11 ,1,思科,"思科 充电器, 全尺寸",1340.00 ,2016/6/22,中国,东北,蛟河,电话,薛磊,0.00 ,4,吉林,技术,消费者,2016/6/19,二级,12183.00 
CN-2015-2396895,0.41 ,1,Hewlett,"Hewlett 传真机, 彩色",1229.00 ,2016/6/22,中国,东北,蛟河,复印机,薛磊,0.00 ,2,吉林,技术,消费者,2016/6/19,二级,2999.00 
CN-2015-2396895,0.44 ,1,Tenex,"Tenex 盘, 工业",225.00 ,2016/6/22,中国,东北,蛟河,收纳具,薛磊,0.00 ,2,吉林,办公用品,消费者,2016/6/19,二级,510.00 
CN-2014-2828982,0.28 ,1,Hamilton Beach,"Hamilton Beach 炉灶, 黑色",3539.00 ,2015/5/26,中国,华东,青岛,器具,苏晒明,0.00 ,5,山东,办公用品,消费者,2015/5/22,标准级,12641.00 
CN-2014-2828982,0.16 ,1,Hamilton Beach,"Hamilton Beach 烤面包机, 银色",217.00 ,2015/5/26,中国,华东,青岛,器具,苏晒明,0.00 ,5,山东,办公用品,消费者,2015/5/22,标准级,1359.00 
CN-2014-2828982,0.48 ,1,Rogers,"Rogers 文件夹, 蓝色",69.00 ,2015/5/26,中国,华东,青岛,收纳具,苏晒明,0.00 ,1,山东,办公用品,消费者,2015/5/22,标准级,143.00 
US-2014-4297166,-0.38 ,1,Acme,"Acme 开信刀, 蓝色",-130.00 ,2016/1/4,中国,东北,沈阳,用品,林丹,0.40 ,4,辽宁,办公用品,消费者,2015/12/31,标准级,338.00 
US-2014-4297166,-0.52 ,1,Stockwell,"Stockwell 订书钉, 每包 12 个",-72.00 ,2016/1/4,中国,东北,沈阳,系固件,林丹,0.40 ,5,辽宁,办公用品,消费者,2015/12/31,标准级,138.00 
US-2014-4297166,-0.34 ,1,Accos,"Accos 按钉, 整包",-41.00 ,2016/1/4,中国,东北,沈阳,系固件,林丹,0.40 ,3,辽宁,办公用品,消费者,2015/12/31,标准级,122.00 
US-2014-4292548,-0.30 ,1,Dania,"Dania 古典书架, 白色",-695.00 ,2015/10/7,中国,中南,黄石,书架,徐健,0.40 ,2,湖北,家具,公司,2015/10/1,标准级,2314.00 
CN-2015-4838467,0.38 ,1,Smead,"Smead 文件车, 蓝色",455.00 ,2016/11/23,中国,西北,西安,收纳具,麦虹,0.00 ,2,陕西,办公用品,公司,2016/11/16,标准级,1198.00 
CN-2012-3232413,0.39 ,1,佳能,"佳能 传真机, 红色",1152.00 ,2013/8/27,中国,中南,阳江,复印机,袁保,0.00 ,2,广东,技术,公司,2013/8/24,二级,2955.00 
CN-2014-4162714,0.12 ,1,松下,"松下 电话, 耐用",332.00 ,2015/6/10,中国,中南,邓州,设备,马丽娜,0.00 ,7,河南,技术,消费者,2015/6/7,一级,2775.00 
CN-2012-4497265,0.48 ,1,Harbour Creations,"Harbour Creations 运输标签, 耐用",132.00 ,2013/1/23,中国,华东,曲阜,标签,谭君,0.00 ,5,山东,办公用品,公司,2013/1/21,一级,277.00 
CN-2012-4497265,0.20 ,1,Stockwell,"Stockwell 回形针, 混合尺寸",51.00 ,2013/1/23,中国,华东,曲阜,系固件,谭君,0.00 ,5,山东,办公用品,公司,2013/1/21,一级,256.00 
CN-2015-5922906,0.08 ,1,StarTech,"StarTech 打印机, 耐用",382.00 ,2016/9/17,中国,中南,湛江,设备,钱伟,0.00 ,4,广东,技术,公司,2016/9/15,二级,4784.00 
US-2012-3767771,-0.45 ,1,Hoover,"Hoover 微波炉, 黑色",-3106.00 ,2013/12/24,中国,中南,孝感,器具,陶武,0.40 ,8,湖北,办公用品,公司,2013/12/19,标准级,6901.00 
US-2012-1166331,-0.08 ,1,Stanley,"Stanley 速写本, 蓝色",-37.00 ,2013/11/1,中国,中南,浏阳,美术,陶聪,0.20 ,3,湖南,办公用品,消费者,2013/10/31,当日,498.00 
US-2012-1166331,0.06 ,1,Green Bar,"Green Bar 计划信息表, 每包 12 个",23.00 ,2013/11/1,中国,中南,浏阳,纸张,陶聪,0.00 ,3,湖南,办公用品,消费者,2013/10/31,当日,391.00 
CN-2014-3064620,0.26 ,1,SanDisk,"SanDisk 路由器, 耐用",934.00 ,2015/3/16,中国,东北,哈尔滨,配件,韩凤,0.00 ,3,黑龙江,技术,小型企业,2015/3/11,二级,3592.00 
CN-2013-3188191,0.50 ,1,Smead,"Smead 有色标签, 红色",150.00 ,2014/10/2,中国,华东,滕州,标签,涂博,0.00 ,5,山东,办公用品,消费者,2014/9/27,二级,300.00 
CN-2013-5717181,0.43 ,1,Kraft,"Kraft 搭扣信封, 红色",125.00 ,2014/9/18,中国,华北,北京,信封,钟庆缘,0.00 ,5,北京,办公用品,小型企业,2014/9/15,一级,293.00 
CN-2013-5717181,0.11 ,1,宜家,"宜家 书架, 传统",63.00 ,2014/9/18,中国,华北,北京,书架,钟庆缘,0.00 ,1,北京,家具,小型企业,2014/9/15,一级,572.00 
CN-2015-2187292,0.42 ,1,三星,"三星 信号增强器, 全尺寸",811.00 ,2016/10/28,中国,西南,重庆,电话,孟刚,0.00 ,3,重庆,技术,公司,2016/10/26,二级,1930.00 
CN-2015-2187292,0.09 ,1,Kraft,"Kraft 邮寄品, 每套 50 个",47.00 ,2016/10/28,中国,西南,重庆,信封,孟刚,0.00 ,3,重庆,办公用品,公司,2016/10/26,二级,527.00 
CN-2015-2187292,0.20 ,1,三星,"三星 充电器, 全尺寸",595.00 ,2016/10/28,中国,西南,重庆,电话,孟刚,0.00 ,1,重庆,技术,公司,2016/10/26,二级,2975.00 
US-2012-3275681,-0.05 ,1,Elite,"Elite 大剪刀, 蓝色",-33.00 ,2013/2/6,中国,华东,椒江,用品,黄丽,0.40 ,5,浙江,办公用品,消费者,2013/2/2,二级,658.00 
CN-2012-5821791,0.16 ,1,Accos,"Accos 橡皮筋, 每包 12 个",24.00 ,2013/12/27,中国,西北,西安,系固件,倪幂,0.00 ,2,陕西,办公用品,消费者,2013/12/23,标准级,150.00 
CN-2012-5821791,0.17 ,1,Hon,"Hon 圆形标签, 耐用",16.00 ,2013/12/27,中国,西北,西安,标签,倪幂,0.00 ,3,陕西,办公用品,消费者,2013/12/23,标准级,99.00 
CN-2012-5821791,0.21 ,1,Novimex,"Novimex 合法证物标签, 可调",16.00 ,2013/12/27,中国,西北,西安,标签,倪幂,0.00 ,2,陕西,办公用品,消费者,2013/12/23,标准级,78.00 
CN-2014-4126497,0.14 ,1,Harbour Creations,"Harbour Creations 运输标签, 可调",84.00 ,2015/3/16,中国,华东,南昌,标签,钱珊,0.00 ,14,江西,办公用品,公司,2015/3/11,标准级,612.00 
CN-2014-4126497,0.30 ,1,Kleencut,"Kleencut 尺子, 钢",36.00 ,2015/3/16,中国,华东,南昌,用品,钱珊,0.00 ,2,江西,办公用品,公司,2015/3/11,标准级,121.00 
CN-2014-1751343,0.18 ,1,佳能,"佳能 复印机, 数字化",440.00 ,2015/8/8,中国,西北,西安,复印机,彭雯,0.00 ,2,陕西,技术,消费者,2015/8/8,当日,2443.00 
US-2013-1803838,-0.57 ,1,夏普,"夏普 墨水, 每套两件",-395.00 ,2014/8/27,中国,东北,叶柏寿,复印机,谢雯,0.40 ,2,辽宁,技术,小型企业,2014/8/22,二级,697.00 
US-2013-1803838,0.45 ,1,Novimex,"Novimex 圆形标签, 可调",26.00 ,2014/8/27,中国,东北,叶柏寿,标签,谢雯,0.00 ,3,辽宁,办公用品,小型企业,2014/8/22,二级,58.00 
CN-2012-4861225,0.34 ,1,Ames,"Ames 外皮和封条, 回收",194.00 ,2013/6/6,中国,华东,上海,信封,韦立,0.00 ,7,上海,办公用品,消费者,2013/6/1,标准级,571.00 
CN-2012-4861225,0.21 ,1,Tenex,"Tenex 分层置放架, 黑色",123.00 ,2013/6/6,中国,华东,上海,用具,韦立,0.00 ,5,上海,家具,消费者,2013/6/1,标准级,589.00 
